,Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
0,2020,10/23/2020,@,Wisconsin,14.0,L,7.0,45.0,
1,2020,10/31/2020,vs.,Purdue,,L,24.0,31.0,
2,2020,11/7/2020,vs.,Minnesota,,L,14.0,41.0,
3,2020,11/14/2020,@,Rutgers,,W,23.0,20.0,
4,2020,11/21/2020,@,Nebraska,,W,41.0,23.0,
5,2020,11/28/2020,vs.,Ohio State,3.0,,,,Canceled (COVID-19)
6,2020,12/5/2020,vs.,Iowa,24.0,L,21.0,35.0,Homecoming
7,2020,12/12/2020,@,Northwestern,15.0,L,10.0,28.0,
8,2020,12/19/2020,@,Penn State,,L,21.0,56.0,
9,2019,8/31/2019,vs.,Akron,,W,42.0,3.0,
10,2019,9/7/2019,@,UConn,,W,31.0,23.0,
11,2019,9/14/2019,vs.,Eastern Michigan,,L,31.0,34.0,
12,2019,9/21/2019,vs.,Nebraska,,L,38.0,42.0,
13,2019,10/5/2019,@,Minnesota,,L,17.0,40.0,
14,2019,10/12/2019,vs.,Michigan,,L,25.0,42.0,
15,2019,10/19/2019,vs.,Wisconsin,,W,24.0,23.0,Homecoming
16,2019,10/26/2019,@,Purdue,,W,24.0,6.0,
17,2019,11/2/2019,vs.,Rutgers,,W,38.0,10.0,
18,2019,11/9/2019,@,Michigan State,,W,37.0,34.0,
19,2019,11/23/2019,@,Iowa,,L,10.0,19.0,
20,2019,11/30/2019,vs.,Northwestern,,L,10.0,29.0,
21,2019,12/30/2019,"Santa Clara, CA",California,,L,20.0,35.0,Red Box Bowl
22,2018,9/1/2018,vs.,Kent State,,W,31.0,24.0,
23,2018,9/8/2018,vs.,Western Illinois,,W,34.0,14.0,
24,2018,9/15/2018,"Chicago, IL",South Florida,,L,19.0,25.0,
25,2018,9/21/2018,vs.,Penn State,,L,24.0,63.0,
26,2018,10/6/2018,@,Rutgers,,W,38.0,17.0,
27,2018,10/13/2018,vs.,Purdue,,L,7.0,46.0,Homecoming
28,2018,10/20/2018,@,Wisconsin,,L,20.0,49.0,
29,2018,10/27/2018,@,Maryland,,L,33.0,63.0,
30,2018,11/3/2018,vs.,Minnesota,,W,55.0,31.0,
31,2018,11/10/2018,@,Nebraska,,L,35.0,54.0,
32,2018,11/17/2018,vs.,Iowa,,L,0.0,63.0,
33,2018,11/24/2018,@,Northwestern,,L,16.0,24.0,
34,2017,9/2/2017,vs.,Ball State,,W,24.0,21.0,
35,2017,9/9/2017,vs.,Western Kentucky,,W,20.0,7.0,
36,2017,9/15/2017,@,South Florida,,L,23.0,47.0,
37,2017,9/29/2017,vs.,Nebraska,,L,6.0,28.0,
38,2017,10/7/2017,@,Iowa,,L,16.0,45.0,
39,2017,10/14/2017,vs.,Rutgers,,L,24.0,35.0,
40,2017,10/21/2017,@,Minnesota,,L,17.0,24.0,
41,2017,10/28/2017,vs.,Wisconsin,,L,10.0,24.0,Homecoming
42,2017,11/4/2017,@,Purdue,,L,10.0,29.0,
43,2017,11/11/2017,vs.,Indiana,,L,14.0,24.0,
44,2017,11/18/2017,@,Ohio State,,L,14.0,52.0,
45,2017,11/25/2017,vs.,Northwestern,,L,7.0,42.0,
46,2016,9/3/2016,vs.,Murray State,,W,52.0,3.0,
47,2016,9/10/2016,vs.,North Carolina,,L,23.0,48.0,
48,2016,9/17/2016,vs.,Western Michigan,,L,10.0,34.0,
49,2016,10/1/2016,@,Nebraska,,L,16.0,31.0,
50,2016,10/8/2016,vs.,Purdue,,L,31.0,34.0,
51,2016,10/15/2016,@,Rutgers,,W,24.0,7.0,
52,2016,10/22/2016,@,Michigan,,L,8.0,41.0,
53,2016,10/29/2016,vs.,Minnesota,,L,17.0,40.0,Homecoming
54,2016,11/5/2016,vs.,Michigan State,,W,31.0,27.0,
55,2016,11/12/2016,@,Wisconsin,,L,3.0,48.0,
56,2016,11/19/2016,vs.,Iowa,,L,0.0,28.0,
57,2016,11/26/2016,@,Northwestern,,L,21.0,42.0,
58,2015,9/5/2015,vs.,Kent State,,W,52.0,3.0,
59,2015,9/12/2015,vs.,Western Illinois,,W,44.0,0.0,
60,2015,9/19/2015,@,North Carolina,,L,14.0,48.0,
61,2015,9/26/2015,vs.,Middle Tennessee State,,W,27.0,25.0,
62,2015,10/3/2015,vs.,Nebraska,,W,14.0,13.0,
63,2015,10/10/2015,@,Iowa,,L,20.0,29.0,
64,2015,10/24/2015,vs.,Wisconsin,,L,13.0,24.0,Homecoming
65,2015,10/31/2015,@,Penn State,,L,0.0,39.0,
66,2015,11/7/2015,@,Purdue,,W,48.0,14.0,
67,2015,11/14/2015,vs.,Ohio State,,L,3.0,28.0,
68,2015,11/21/2015,@,Minnesota,,L,23.0,32.0,
69,2015,11/28/2015,"Chicago, IL",Northwestern,,L,14.0,24.0,
70,2014,8/30/2014,vs.,Youngstown State,,W,28.0,17.0,
71,2014,9/6/2014,vs.,Western Kentucky,,W,42.0,34.0,
72,2014,9/13/2014,@,Washington,,L,19.0,44.0,
73,2014,9/20/2014,vs.,Texas State,,W,42.0,35.0,
74,2014,9/27/2014,@,Nebraska,,L,14.0,45.0,
75,2014,10/4/2014,vs.,Purdue,,L,27.0,38.0,
76,2014,10/11/2014,@,Wisconsin,,L,28.0,38.0,
77,2014,10/25/2014,vs.,Minnesota,,W,28.0,24.0,Homecoming
78,2014,11/1/2014,@,Ohio State,,L,14.0,55.0,
79,2014,11/15/2014,vs.,Iowa,,L,14.0,30.0,
80,2014,11/22/2014,vs.,Penn State,,W,16.0,14.0,
81,2014,11/29/2014,@,Northwestern,,W,47.0,33.0,
82,2014,12/26/2014,"Dallas, TX",Louisiana Tech,,L,18.0,35.0,Heart of Dallas Bowl
83,2013,8/31/2013,vs.,Southern Illinois,,W,42.0,34.0,
84,2013,9/7/2013,vs.,Cincinnati,,W,45.0,17.0,
85,2013,9/14/2013,"Chicago, IL",Washington,,L,24.0,34.0,
86,2013,9/28/2013,vs.,Miami,,W,50.0,14.0,
87,2013,10/5/2013,@,Nebraska,,L,19.0,39.0,
88,2013,10/19/2013,vs.,Wisconsin,,L,32.0,56.0,
89,2013,10/26/2013,vs.,Michigan State,,L,3.0,42.0,Homecoming
